position,age,market_value,country_from,club_from,country_to,club_to,fee
Centre-Back,35,1,Mexico,CD Cruz Azul,Paraguay,Club Libertad Asunción,free transfer
Defensive Midfield,27,1,Italy,Venezia FC,Israel,Maccabi Tel Aviv,free transfer
Centre-Forward,30,1,Turkey,Gaziantep FK,Turkey,Konyaspor,free transfer
Right-Back,26,1,Portugal,SL Benfica B,Italy,FC Empoli,free transfer
Central Midfield,24,1,Italy,SS Lazio,Italy,SPAL,?
Left Winger,26,1,Turkey,Kasimpasa,Turkey,Hatayspor,?
Central Midfield,30,1,Italy,Cagliari Calcio,Italy,Como 1907,free transfer
Centre-Forward,31,1,Kazakhstan,Kairat Almaty,China,Cangzhou Mighty Lions,free transfer
Centre-Forward,28,1,Turkey,Besiktas JK,Germany,FC Schalke 04,free transfer
Right-Back,24,1,Italy,US Sassuolo,Italy,Ascoli Calcio,?
Centre-Back,29,1,Italy,Benevento Calcio,Italy,Pisa Sporting Club,?
Central Midfield,19,-,Portugal,FC Porto U19,Portugal,Sporting CP B,1
Centre-Forward,24,0.8,Austria,LASK,Austria,Austria Vienna,1
Centre-Back,25,1,Poland,Legia Warszawa,France,Clermont Foot 63,1
Central Midfield,24,0.8,Germany,Fortuna Düsseldorf,Bulgaria,Ludogorets Razgrad,1
Left Winger,18,0.275,Costa Rica,CS Herediano,England,Sunderland AFC,1
Defensive Midfield,23,1,Croatia,HNK Hajduk Split,Croatia,NK Osijek,1
Right Winger,20,1,Germany,SG Dynamo Dresden,Germany,Hamburger SV,1
Left Winger,26,1,Germany,1.FC Heidenheim 1846,Germany,FC Schalke 04,1
Defensive Midfield,26,1,France,RC Strasbourg Alsace,Sweden,Malmö FF,1
Right-Back,27,1,Germany,1. FC Köln,Italy,Udinese Calcio,1
Central Midfield,22,1,Italy,Cagliari Calcio,Italy,Ascoli Calcio,0.8
Centre-Forward,25,1,Switzerland,FC St. Gallen 1879,Germany,1.FC Nuremberg,0.7
Attacking Midfield,32,1,Belgium,Oud-Heverlee Leuven,Hungary,Ferencvárosi TC,0.5
Attacking Midfield,27,1,Czech Republic,FC Hradec Kralove,Czech Republic,FC Viktoria Plzen,0.49
Right-Back,23,1,Romania,FCV Farul Constanta,Romania,FCSB,0.4
Defensive Midfield,28,1,Romania,Concordia Chiajna,Romania,FC Rapid 1923,0.15
Right-Back,27,1,Belarus,BATE Borisov,Serbia,FK Partizan Belgrade,0.1
Central Midfield,24,1,Romania,FCV Farul Constanta,Romania,FC Rapid 1923,0.1
Left Winger,24,1,Argentina,Club Atlético Independiente,Argentina,Defensa y Justicia,0.1
Left Winger,28,1,Brazil,Esporte Clube Bahia,Brazil,Goiás Esporte Clube,0.1
Goalkeeper,22,1,Poland,Radomiak Radom,Cyprus,Pafos FC,0.05
Goalkeeper,21,1,Germany,Hertha BSC,Germany,Borussia Dortmund,free transfer
Left-Back,27,1,Germany,SC Paderborn 07,Wales,Cardiff City,free transfer
Right-Back,29,1,Turkey,Sivasspor,Turkey,Konyaspor,free transfer
Right Winger,19,1,Germany,1.FSV Mainz 05,Germany,Karlsruher SC,loan transfer
Centre-Forward,27,1,France,Valenciennes FC,France,EA Guingamp,?
Centre-Back,29,1,Brazil,Club Athletico Paranaense,Argentina,Club Atlético Lanús,loan transfer
Left-Back,26,1,Bulgaria,CSKA-Sofia,Greece,Aris Thessaloniki,free transfer
Centre-Forward,30,1,Belgium,KAA Gent,Belgium,Sint-Truidense VV,loan transfer
Left-Back,31,1,Brazil,Sport Club Internacional,Brazil,Avaí Futebol Clube (SC),free transfer
Centre-Forward,31,1,Italy,FC Empoli,Italy,SPAL,loan transfer
Goalkeeper,26,1,Belgium,Cercle Brugge ,Monaco,AS Monaco,loan transfer
Goalkeeper,30,1,South Africa,SuperSport United,South Africa,Mamelodi Sundowns FC,?
Right-Back,20,1,Portugal,FC Porto B,Italy,Pisa Sporting Club,loan transfer
Attacking Midfield,33,1,Italy,SPAL,Italy,Cagliari Calcio,free transfer
Right-Back,26,1,Italy,Spezia Calcio,Italy,Como 1907,?
Defensive Midfield,30,1,Argentina,CA San Lorenzo de Almagro,Colombia,Junior FC,free transfer
Centre-Back,23,1,France,Paris FC,Spain,Sporting Gijón,?
Centre-Back,19,1,Germany,Bayern Munich,Germany,Hannover 96,loan transfer
Central Midfield,20,1,France,AC Le Havre,France,Stade Reims,?
Central Midfield,20,1,France,Stade Reims,France,AC Le Havre,loan transfer
Central Midfield,21,1,Italy,Atalanta BC,Italy,Como 1907,loan transfer
Centre-Forward,17,-,Germany,FC Augsburg U19,Germany,VfL Wolfsburg,1
Attacking Midfield,22,0.45,Brazil,Grêmio Foot-Ball Porto Alegrense,Portugal,CD Santa Clara,1
Left Winger,30,1,Saudi Arabia,Abha Club,Australia,Adelaide United,?
Centre-Forward,31,1,England,Nottingham Forest,France,AJ Auxerre,2
Central Midfield,23,1,Russia,Arsenal Tula,Serbia,Red Star Belgrade,1
Central Midfield,16,-,Denmark,FC Midtjylland Youth,Germany,FC Bayern Munich U17 ,1
Attacking Midfield,19,0.9,Czech Republic,SK Sigma Olomouc,Czech Republic,AC Sparta Prague,1
Centre-Back,24,0.8,Czech Republic,MFK Karvina,Czech Republic,SK Slavia Prague,1
Left Winger,20,0.7,Bulgaria,Botev Plovdiv,Russia,FK Krasnodar,1
Centre-Forward,27,0.9,Hungary,Paksi FC,"Korea, South",Ulsan Hyundai,1
Right-Back,22,0.9,Norway,Viking Stavanger,Denmark,Bröndby IF,1
Centre-Forward,25,1,Italy,Frosinone Calcio,Italy,Venezia FC,1
Defensive Midfield,24,1,Brazil,Clube de Regatas do Flamengo,Brazil,Club Athletico Paranaense,1
Left-Back,22,0.8,England,Leeds United,England,Ipswich Town,1
Left-Back,20,0.5,Norway,Aalesunds FK,Netherlands,FC Groningen,1
Centre-Forward,23,1,Turkey,Bandirmaspor,Turkey,Istanbul Basaksehir FK,1
attack,17,-,England,Sheffield United U18,England,Tottenham Hotspur U18,1
Left Winger,28,1,Ecuador,Barcelona SC Guayaquil,Brazil,América Futebol Clube (MG),1
Left Winger,23,1,Italy,Genoa CFC,Italy,Frosinone Calcio,1
Centre-Forward,26,1,France,RC Lens,United States,Inter Miami CF,1
Centre-Forward,28,1,France,FC Lorient,France,Paris FC,1
Centre-Forward,24,1,Germany,SG Dynamo Dresden,Germany,1.FC Nuremberg,1
Centre-Forward,26,1,Greece,Atromitos Athen,Austria,LASK,1
Centre-Forward,25,1,Portugal,FC Arouca,Portugal,Vitória Guimarães SC,1
Centre-Back,26,1,Germany,1.FC Nuremberg,Czech Republic,AC Sparta Prague,1
Centre-Forward,25,1,Sweden,Hammarby IF,Israel,Hapoel Beer Sheva,1
Centre-Back,27,1,England,Queens Park Rangers,Germany,Fortuna Düsseldorf,0.9
Centre-Back,21,1,Belgium,SV Zulte Waregem,Belgium,Oud-Heverlee Leuven,0.75
Central Midfield,24,1,Poland,Górnik Zabrze,Denmark,Odense Boldklub,0.6
Attacking Midfield,25,1,Serbia,FK Spartak Subotica,Bulgaria,CSKA-Sofia,0.5
Left Midfield,21,1,Japan,Albirex Niigata,Belgium,Club NXT,0.5
Centre-Forward,27,1,Argentina,CA Huracán,Argentina,CA Rosario Central,0.48
Right Winger,28,1,United States,Los Angeles FC,United States,New England Revolution,0.364
Left-Back,23,1,Germany,SV Werder Bremen,Germany,1.FC Heidenheim 1846,0.35
Right Winger,27,1,Colombia,Deportivo Cali,Brazil,Ceará Sporting Club,0.3
Left-Back,20,1,Georgia,Dinamo Batumi,Serbia,Red Star Belgrade,0.3
Central Midfield,29,1,Romania,FC Voluntari,Romania,FCSB,0.3
Left Winger,23,1,United Arab Emirates,FC Shabab Al-Ahli Dubai,Iran,Esteghlal FC,0.3
Centre-Back,21,1,Belgium,Standard Liège,Russia,FC Sochi,0.3
Centre-Back,22,1,Poland,Górnik Zabrze,Germany,SC Paderborn 07,0.2
Central Midfield,25,1,Russia,Rubin Kazan,Russia,Ural Yekaterinburg,0.12
Left-Back,23,1,France,Nîmes Olympique,France,Montpellier HSC,free transfer
Attacking Midfield,22,1,Romania,FC Voluntari,Romania,Sepsi OSK Sf. Gheorghe,free transfer
Defensive Midfield,30,1,Switzerland,FC Zürich,Switzerland,FC Lugano,free transfer
Centre-Forward,34,1,Turkey,Hatayspor,Turkey,Konyaspor,free transfer
Attacking Midfield,30,1,England,West Bromwich Albion,Wales,Cardiff City,free transfer
Left Winger,22,1,Nigeria,Remo Stars FC,Portugal,FC Porto B,loan transfer
Central Midfield,27,1,Spain,Real Sociedad B,Spain,FC Cartagena,free transfer
Left-Back,32,1,Russia,Lokomotiv Moscow,Russia,Spartak Moscow,free transfer
Central Midfield,33,1,Mexico,Club León FC,Mexico,Deportivo Toluca,free transfer
Centre-Forward,25,1,Russia,FK Orenburg,Russia,Rubin Kazan,free transfer
Left-Back,29,1,Czech Republic,FK Jablonec,Czech Republic,AC Sparta Prague,?
Left Winger,27,1,France,Stade Reims,France,FC Sochaux-Montbéliard,free transfer
Right Winger,32,1,Spain,Deportivo Alavés,Mexico,Club Necaxa,free transfer
Attacking Midfield,22,1,England,Liverpool FC,England,Preston North End,free transfer
Left-Back,34,1,Mexico,CD Cruz Azul,Mexico,UNAM Pumas,free transfer
Attacking Midfield,24,1,France,ESTAC Troyes,France,AS Saint-Étienne,free transfer
Central Midfield,28,1,England,Shrewsbury Town,England,Fleetwood Town,free transfer
Centre-Back,24,1,Greece,AEK Athens,Poland,Rakow Czestochowa,loan transfer
Centre-Forward,29,1,Spain,Real Zaragoza,Croatia,HNK Rijeka,free transfer
Centre-Forward,29,1,Serbia,FK Spartak Subotica,Serbia,FK Vojvodina Novi Sad,free transfer
Central Midfield,27,1,Spain,FC Cartagena,Spain,Granada CF,free transfer
Left Winger,25,1,France,RC Strasbourg Alsace,France,Paris FC,loan transfer
Right-Back,30,1,Germany,Eintracht Frankfurt,Germany,1.FC Kaiserslautern,?
Attacking Midfield,22,1,Mexico,Deportivo Toluca,Mexico,Club Tijuana,free transfer
Centre-Back,27,1,France,Nîmes Olympique,France,AS Saint-Étienne,free transfer
Goalkeeper,31,1,Switzerland,FC Basel 1893,Switzerland,FC Sion,?
Defensive Midfield,31,1,Saudi Arabia,Ettifaq FC,United Arab Emirates,Al-Ittihad Kalba SC,free transfer
Centre-Back,20,1,Italy,ACF Fiorentina,Italy,SPAL,loan transfer
Right-Back,29,1,Ukraine,Shakhtar Donetsk,Ukraine,Kolos Kovalivka,free transfer
Goalkeeper,28,1,France,Clermont Foot 63,France,AC Le Havre,?
Centre-Back,22,1,Greece,Olympiacos Piraeus,Serbia,FK Partizan Belgrade,?
Attacking Midfield,28,1,Russia,FK Krasnodar,Netherlands,Sparta Rotterdam,free transfer
Attacking Midfield,23,1,Italy,Venezia FC,Belgium,RSC Charleroi,?
Central Midfield,26,1,Italy,Atalanta BC,Italy,US Cremonese,?
Centre-Forward,23,1,England,Southampton FC,England,Cheltenham Town,loan transfer
Attacking Midfield,21,1,Germany,FC Schalke 04,Turkey,Fatih Karagümrük,?
Right Winger,28,1,Russia,Dynamo Moscow,Turkey,Sivasspor,free transfer
Defensive Midfield,28,1,Brazil,Associação Ferroviária de Esportes (SP),Mexico,UNAM Pumas,?
Attacking Midfield,29,1,Mexico,UNAM Pumas,Argentina,Club Atlético Talleres,loan transfer
Centre-Back,21,1,Brazil,Red Bull Bragantino,Colombia,Junior FC,loan transfer
Right Winger,30,1,Germany,1.FC Union Berlin,Poland,Legia Warszawa,free transfer
Centre-Back,25,1,Belgium,Royale Union Saint Gilloise,Belgium,RSC Charleroi,free transfer
Central Midfield,29,1,Romania,FC Botosani,Turkey,Caykur Rizespor,free transfer
Central Midfield,24,1,Argentina,Racing Club,Argentina,Defensa y Justicia,loan transfer
Central Midfield,32,1,England,Stoke City,Wales,Swansea City,free transfer
Central Midfield,27,1,Spain,Real Sociedad,Spain,Deportivo Alavés,free transfer
Centre-Back,29,1,Spain,Cádiz CF,Cyprus,Anorthosis Famagusta,free transfer
Left Winger,29,1,France,Angers SCO,Cyprus,Anorthosis Famagusta,free transfer
Centre-Forward,30,1,Greece,Panathinaikos Athens,Turkey,MKE Ankaragücü,free transfer
Centre-Forward,22,1,Netherlands,Feyenoord Rotterdam,Portugal,Boavista FC,loan transfer
Attacking Midfield,24,1,Ukraine,PFK Lviv,Turkey,Caykur Rizespor,free transfer
Centre-Forward,27,1,Spain,Málaga CF,Greece,PAOK Thessaloniki,free transfer
Left Winger,31,1,Qatar,Al-Duhail SC,Qatar,Al-Arabi SC,loan transfer
Centre-Back,30,1,Spain,SD Eibar,Spain,Málaga CF,free transfer
Central Midfield,28,1,France,FC Sochaux-Montbéliard,France,Dijon FCO,free transfer
Right-Back,23,1,Italy,Hellas Verona,Switzerland,BSC Young Boys,loan transfer
Left Winger,28,1,Saudi Arabia,Al-Batin FC,United Arab Emirates,Al-Dhafra FC,free transfer
Centre-Forward,18,1,England,West Ham United U21,England,Leeds United U21,free transfer
Defensive Midfield,23,1,France,Clermont Foot 63,Portugal,FC Arouca,free transfer
Left Winger,27,1,Greece,AEK Athens,Cyprus,Pafos FC,free transfer
Left Winger,24,1,Belgium,RSC Anderlecht,Spain,CD Tenerife,loan transfer
Defensive Midfield,33,1,Egypt,Zamalek SC,Saudi Arabia,Al-Ittihad Club (Jeddah),free transfer
Defensive Midfield,35,1,Turkey,Fenerbahce SK,Saudi Arabia,Al-Nassr Riad,free transfer
Defensive Midfield,28,1,Turkey,Hatayspor,Turkey,Ümraniyespor,?
Centre-Back,29,1,Spain,Getafe CF,Spain,Granada CF,free transfer
Centre-Forward,33,1,Saudi Arabia,Al-Faisaly FC,Saudi Arabia,Al-Raed,free transfer
Attacking Midfield,23,1,Germany,FC Bayern Munich II,Germany,SSV Jahn Regensburg,loan transfer
Defensive Midfield,29,1,Mexico,CF Pachuca,Brazil,Coritiba Foot Ball Club,loan transfer
Right Winger,32,1,Ecuador,CD Universidad Católica,Saudi Arabia,Al-Ahli Saudi FC,?
Right-Back,30,1,England,Derby County,United States,Charlotte FC,free transfer
Right-Back,26,1,Germany,Hertha BSC,Germany,Arminia Bielefeld,free transfer
Centre-Forward,20,1,Germany,Eintracht Frankfurt,Turkey,Göztepe,loan transfer
Centre-Back,30,1,Brazil,Fluminense Football Club,Turkey,Eyüpspor,free transfer
Right Winger,30,1,Egypt,Zamalek SC,Morocco,Wydad Casablanca,free transfer
Centre-Forward,25,1,Brazil,Tombense Futebol Clube (MG),Japan,Ventforet Kofu,loan transfer
Centre-Back,26,1,Spain,UD Almería,Spain,Deportivo Alavés,loan transfer
Centre-Forward,20,1,France,Stade Reims,Portugal,FC Paços de Ferreira,loan transfer
Central Midfield,31,1,Italy,Benevento Calcio,Italy,Pisa Sporting Club,?
Centre-Forward,30,1,Germany,1.FC Union Berlin,England,Millwall FC,?
Centre-Forward,26,1,England,Watford FC,England,Wigan Athletic,loan transfer
Goalkeeper,27,1,England,Arsenal FC,Turkey,Alanyaspor,loan transfer
Centre-Forward,30,1,France,RC Strasbourg Alsace,Cyprus,Anorthosis Famagusta,free transfer
Centre-Back,21,1,Wales,Cardiff City,England,Sheffield Wednesday,loan transfer
Centre-Forward,21,1,France,FC Lorient,Belgium,KAS Eupen,loan transfer
Centre-Forward,19,1,Italy,Genoa CFC,Belgium,Oud-Heverlee Leuven,loan transfer
Centre-Forward,32,1,Turkey,Konyaspor,Saudi Arabia,Al-Khaleej,loan transfer
Attacking Midfield,33,1,Netherlands,Feyenoord Rotterdam,Netherlands,FC Utrecht,free transfer
Defensive Midfield,32,1,Greece,AEK Athens,Russia,Torpedo Moscow,free transfer
Right-Back,29,1,England,Fulham FC,England,Hull City,free transfer
Right Winger,21,1,Monaco,AS Monaco,France,FC Metz,loan transfer
Right-Back,26,1,Netherlands,AZ Alkmaar,Bulgaria,Ludogorets Razgrad,?
Left Winger,24,1,France,Stade Reims,Switzerland,Servette FC,?
Centre-Forward,32,1,Greece,AEK Athens,Cyprus,Omonia Nicosia,free transfer
Central Midfield,26,1,Italy,US Cremonese,Italy,SPAL,loan transfer
Right Winger,25,1,Portugal,FC Famalicão,Spain,SD Ponferradina,loan transfer
Defensive Midfield,20,1,Germany,TSG 1899 Hoffenheim,Netherlands,PEC Zwolle,loan transfer
Defensive Midfield,32,1,Saudi Arabia,Al-Shabab Club (Riyadh),Spain,Málaga CF,free transfer
Left-Back,25,1,Colombia,Junior FC,Spain,Real Zaragoza,loan transfer
Attacking Midfield,32,1,France,Clermont Foot 63,France,Valenciennes FC,free transfer
Defensive Midfield,26,1,Italy,SSC Napoli,Italy,Delfino Pescara 1936,?
Centre-Back,26,1,Italy,Spezia Calcio,Italy,Cagliari Calcio,?
Central Midfield,29,1,Romania,FCSB,Romania,FC Voluntari,free transfer
Centre-Back,27,1,Netherlands,PSV Eindhoven,Israel,Maccabi Tel Aviv,?
Left-Back,19,0.95,Turkey,Altay SK,Turkey,Galatasaray A.S.,1
Goalkeeper,29,1,Italy,Genoa CFC,Italy,Benevento Calcio,1
Right-Back,27,1,Austria,Red Bull Salzburg,Switzerland,FC St. Gallen 1879,1
Left Winger,23,1,Romania,CFR Cluj,Romania,FC Rapid 1923,0.1
Defensive Midfield,30,1,Turkey,Istanbul Basaksehir FK,Turkey,MKE Ankaragücü,free transfer
Defensive Midfield,25,1,Turkey,Gaziantep FK,Netherlands,Fortuna Sittard,free transfer
Central Midfield,30,1,Colombia,Atlético Nacional,Argentina,CA Colon,free transfer
Centre-Back,28,1,Turkey,Galatasaray A.S.,Turkey,Eyüpspor,loan transfer
Central Midfield,29,1,Colombia,CD América de Cali,Paraguay,Club Cerro Porteño,?
Attacking Midfield,25,1,Brazil,Grêmio Foot-Ball Porto Alegrense,Brazil,Guarani Futebol Clube (SP),loan transfer
Defensive Midfield,26,1,Brazil,Santos FC,Brazil,Atlético Clube Goianiense,loan transfer
Centre-Forward,25,1,Italy,Atalanta BC,Italy,Palermo FC,loan transfer
Goalkeeper,26,0.3,Denmark,Aalborg BK,Denmark,FC Nordsjaelland,1
Goalkeeper,23,0.5,Egypt,Zamalek SC,Egypt,Pharco FC,1
Left Winger,23,1,Paraguay,Club Guaraní,Mexico,Mazatlán FC,2
Centre-Forward,26,1,England,Barnsley FC,England,Luton Town,2
Left-Back,20,1,Sweden,IF Elfsborg,France,FC Toulouse,1
Left-Back,27,0.6,Italy,Genoa CFC,Italy,US Salernitana 1919,1
Centre-Forward,23,0.7,Slovakia,DAC Dunajska Streda,Denmark,Bröndby IF,1
Central Midfield,22,1,England,Brighton & Hove Albion U21,England,West Bromwich Albion,1
Centre-Forward,21,0.8,Portugal,Vitória Guimarães SC B,Belgium,KVC Westerlo,1
Centre-Forward,23,1,Portugal,Vitória Guimarães SC,Portugal,Rio Ave FC,1
Left Winger,18,0.75,Germany,Hertha BSC,Switzerland,FC Basel 1893,1
Goalkeeper,24,0.9,Netherlands,FC Utrecht,United States,FC Dallas,1
Centre-Forward,23,0.5,Switzerland,FC Schaffhausen,Switzerland,FC Luzern,1
Centre-Back,22,0.8,Netherlands,RKC Waalwijk,Netherlands,Vitesse Arnhem,1
Central Midfield,24,0.5,Spain,FC Barcelona Atlètic,Spain,SD Eibar,1
Second Striker,17,0.5,Spain,Algeciras CF,Spain,Real Madrid Castilla,1
Centre-Back,21,0.75,Italy,Atalanta BC,Netherlands,Fortuna Sittard,1
Right-Back,23,1,Belgium,Cercle Brugge ,England,Burnley FC,1
Defensive Midfield,17,-,Germany,Eintracht Frankfurt U19,Germany,TSG 1899 Hoffenheim II,1
Centre-Back,26,0.9,Hungary,MOL Fehérvár FC,Italy,Pisa Sporting Club,1
Right Winger,22,0.4,Slovenia,NK Maribor,Norway,FK Bodø/Glimt,1
Centre-Back,19,1,France,FC Metz,Portugal,SL Benfica B,1
Centre-Back,18,-,Serbia,FK Cukaricki U19,Italy,Sassuolo Primavera,1
Central Midfield,27,1,United States,Charlotte FC,Spain,Granada CF,1
Centre-Back,27,1,Czech Republic,SK Sigma Olomouc,Czech Republic,FC Viktoria Plzen,1
Right Winger,19,0.4,Italy,Cagliari Primavera,Italy,Pisa Sporting Club,1
Centre-Back,17,-,Germany,VfB Stuttgart U19,Italy,Milan Primavera,1
Centre-Back,21,0.7,Brazil,Sport Club Internacional,Bulgaria,Ludogorets Razgrad,1
Centre-Forward,27,0.65,Azerbaijan,Qarabağ FK,France,AS Saint-Étienne,1
Defensive Midfield,23,0.6,Portugal,Moreirense FC,Portugal,Boavista FC,1
Right-Back,17,0.2,France,AC Le Havre,France,Olympique Lyon,1
Left-Back,30,0.4,Denmark,Viborg FF,Denmark,FC Copenhagen,1
Defensive Midfield,19,0.7,France,AC Le Havre,England,Sunderland AFC,1
Right Winger,25,0.9,Belgium,KV Mechelen,Ukraine,Shakhtar Donetsk,1
Right Winger,22,0.8,Slovenia,FC Koper,Ukraine,Dynamo Kyiv,1
Centre-Forward,30,1,"Korea, South",Incheon United,Japan,Vissel Kobe,0.96
Centre-Back,31,1,Greece,Panathinaikos Athens,Saudi Arabia,Al-Fateh,0.85
Left Winger,25,1,Czech Republic,FK Mlada Boleslav,Czech Republic,SK Slavia Prague,0.8
Defensive Midfield,23,1,Croatia,GNK Dinamo Zagreb II,Ukraine,Shakhtar Donetsk,0.8
Defensive Midfield,24,1,Netherlands,Go Ahead Eagles,Netherlands,FC Utrecht,0.75
Centre-Back,21,1,Germany,1. FC Köln,Denmark,Aarhus GF,0.67
Goalkeeper,22,1,Italy,Juventus Next Gen,Portugal,Sporting CP,0.65
Left Winger,19,1,Sweden,Hammarby IF,Netherlands,AZ Alkmaar,0.6
Centre-Forward,29,1,Ecuador,Barcelona SC Guayaquil,Brazil,América Futebol Clube (MG),0.58
Right Winger,25,1,United States,Orlando City SC,Netherlands,SC Cambuur-Leeuwarden,0.5
Attacking Midfield,29,1,Ukraine,Kolos Kovalivka,Ukraine,Shakhtar Donetsk,0.5
Left Winger,21,1,Spain,Málaga CF,Portugal,Gil Vicente FC,0.5
Attacking Midfield,21,1,Denmark,FC Nordsjaelland,Belgium,Cercle Brugge ,0.5
Centre-Back,24,1,Poland,Wisla Plock,Germany,SpVgg Greuther Fürth,0.5
Centre-Back,25,1,France,FC Lorient,France,AS Saint-Étienne,0.5
Left-Back,25,1,Spain,CD Leganés,Ukraine,Vorskla Poltava,0.5
Centre-Back,29,1,United States,San Jose Earthquakes,Turkey,Konyaspor,0.495
Left Winger,24,1,Greece,PAOK Thessaloniki,Netherlands,Excelsior Rotterdam,0.45
Right-Back,24,1,Sweden,IFK Göteborg,Italy,Brescia Calcio,0.4
Goalkeeper,24,1,Brazil,São Paulo Futebol Clube,Brazil,Botafogo de Futebol e Regatas,0.35
Defensive Midfield,18,1,United States,D.C. United,Belgium,SK Beveren,0.35
Centre-Forward,17,1,Germany,Bayer 04 Leverkusen U19,Spain,Real Madrid Castilla,0.3
Left Winger,27,1,Turkey,Altay SK,United States,D.C. United,0.273
Right Winger,30,1,Romania,Universitatea Craiova,Iran,Tractor FC,0.2
Centre-Back,24,1,Greece,PAOK Thessaloniki,Portugal,FC Famalicão,0.2
Right Winger,21,1,Ukraine,Dynamo Kyiv,Poland,Lech Poznan,0.1
Defensive Midfield,26,1,Brazil,Fortaleza Esporte Clube,Qatar,Qatar SC,0.05
Defensive Midfield,21,1,Germany,FC Bayern Munich II,Netherlands,FC Utrecht,free transfer
Left-Back,24,1,Germany,SSV Jahn Regensburg,Germany,1.FC Nuremberg,free transfer
Right Winger,25,1,Denmark,Vejle Boldklub,Denmark,Aalborg BK,free transfer
Centre-Back,30,1,Belgium,KAS Eupen,Malaysia,Johor Darul Ta'zim,free transfer
Centre-Back,29,1,Germany,Hannover 96,Germany,Karlsruher SC,free transfer
Centre-Forward,30,1,Spain,Deportivo Alavés,Sweden,AIK Solna,free transfer
Centre-Back,35,1,France,FC Girondins Bordeaux,Australia,Western Sydney Wanderers,free transfer
Right Winger,30,1,England,Stoke City,England,Reading FC,free transfer
Defensive Midfield,24,1,Germany,Arminia Bielefeld,Germany,Hannover 96,free transfer
Goalkeeper,34,1,Germany,Borussia Dortmund,Switzerland,FC Basel 1893,free transfer
Centre-Back,34,1,France,Angers SCO,France,SM Caen,free transfer
Right-Back,25,1,Greece,PAS Giannina,Germany,FC St. Pauli,free transfer
Right Winger,31,1,Mexico,UNAM Pumas,Brazil,Centro Sportivo Alagoano (AL),free transfer
Central Midfield,30,1,Turkey,Kasimpasa,Turkey,Hatayspor,free transfer
Centre-Forward,26,1,Mexico,Santos Laguna,Chile,Coquimbo Unido,loan transfer
Central Midfield,25,1,Austria,SK Austria Klagenfurt,Austria,Rapid Vienna,free transfer
Attacking Midfield,30,1,England,Sheffield United,England,Luton Town,free transfer
Right Winger,26,1,Portugal,Gil Vicente FC,France,Amiens SC,free transfer
Centre-Back,30,1,England,Luton Town,England,Bristol City,free transfer
Goalkeeper,29,1,Belgium,Royal Antwerp FC,Iran,Persepolis FC,free transfer
Right Winger,25,1,Spain,Real Sociedad B,Spain,Deportivo Alavés,free transfer
Goalkeeper,29,1,Mexico,Club Tijuana,Mexico,UNAM Pumas,?
Right Winger,25,1,Germany,SV Darmstadt 98,Germany,1.FC Union Berlin,free transfer
Centre-Forward,21,1,Mexico,Deportivo Guadalajara,Mexico,UNAM Pumas,free transfer
Centre-Back,26,1,Romania,AFC Chindia Targoviste,Romania,FC Rapid 1923,free transfer
Centre-Forward,28,1,Czech Republic,1.FC Slovacko,Czech Republic,SK Slavia Prague,free transfer
